order_id,user_id,user_name,city,membership,restaurant_id,restaurant_name_orders,cuisine,rating,order_date,total_amount
71,773,User_773,Pune,Gold,256,Sri Curry House Andhra,Italian,3.1,18-05-2023,1401.97
72,204,User_204,Bangalore,Regular,413,Sai Curry House Punjabi,Italian,3.3,28-11-2023,575.36
73,1725,User_1725,Bangalore,Gold,80,Spice Mess Chinese,Italian,3.9,19-04-2023,765.76
74,1284,User_1284,Chennai,Regular,229,Ruchi Mess Family Restaurant,Italian,3.8,01-12-2023,1223.01
75,849,User_849,Pune,Regular,444,Classic Cafe Family Restaurant,Chinese,4.7,22-08-2023,700.31
76,1565,User_1565,Pune,Regular,233,Grand Cafe Family Restaurant,Italian,4.5,28-08-2023,1117.61
77,1632,User_1632,Bangalore,Regular,80,Spice Mess Chinese,Italian,3.9,22-10-2023,851.28
78,2286,User_2286,Chennai,Regular,432,Hotel Eatery Pure Veg,Mexican,5.0,24-12-2023,271.81
79,1396,User_1396,Pune,Gold,242,Classic Dhaba Punjabi,Mexican,4.0,09-03-2023,1052.51
80,1965,User_1965,Hyderabad,Gold,291,Annapurna Foods Non-Veg,Mexican,4.3,23-02-2023,1323.7
81,2320,User_2320,Hyderabad,Gold,368,Sri Dhaba Pure Veg,Indian,4.4,18-08-2023,537.78
82,38,User_38,Chennai,Gold,257,Sri Kitchen Family Restaurant,Italian,3.4,11-01-2023,1326.03
83,1149,User_1149,Chennai,Gold,347,Amma Delights Chinese,Chinese,4.8,03-09-2023,961.02
84,2879,User_2879,Pune,Gold,196,Hotel Curry House Chinese,Italian,5.0,29-12-2023,488.53
85,2917,User_2917,Bangalore,Gold,201,Spice Cafe Pure Veg,Mexican,3.4,12-11-2023,1102.52
86,2563,User_2563,Hyderabad,Regular,423,Royal Tiffins Multicuisine,Indian,3.2,28-10-2023,1018.04
87,1750,User_1750,Pune,Gold,385,Ruchi Mess Multicuisine,Chinese,4.4,14-04-2023,1103.42
88,58,User_58,Bangalore,Regular,320,Hotel Cafe Multicuisine,Italian,4.1,01-06-2023,196.11
89,1619,User_1619,Bangalore,Regular,158,Hotel Biryani Pure Veg,Indian,4.5,20-06-2023,619.05
90,2760,User_2760,Hyderabad,Regular,320,Hotel Cafe Multicuisine,Italian,4.1,16-01-2023,264.05
91,2309,User_2309,Chennai,Gold,476,Royal Curry House Multicuisine,Mexican,3.4,07-07-2023,391.36
92,81,User_81,Chennai,Regular,200,Annapurna Restaurant Pure Veg,Chinese,3.9,07-01-2023,870.09
93,2874,User_2874,Hyderabad,Regular,1,Royal Kitchen Family Restaurant,Chinese,4.8,22-01-2023,441.18
94,587,User_587,Chennai,Regular,176,Classic Delights North Indian,Italian,4.0,10-12-2023,285.28
95,570,User_570,Bangalore,Gold,280,Taste of Dhaba Andhra,Chinese,3.7,20-02-2023,795.58
96,1048,User_1048,Pune,Regular,157,Sai Restaurant Family Restaurant,Italian,4.5,17-09-2023,711.84
97,614,User_614,Hyderabad,Regular,335,New Biryani Family Restaurant,Italian,3.9,18-09-2023,190.14
98,1135,User_1135,Bangalore,Regular,161,Annapurna Biryani South Indian,Mexican,3.8,05-12-2023,1225.83
99,549,User_549,Pune,Gold,11,Taste of Kitchen Family Restaurant,Chinese,4.9,25-11-2023,146.68
100,2811,User_2811,Bangalore,Gold,484,Taste of Biryani Punjabi,Mexican,4.2,15-12-2023,632.94
101,1337,User_1337,Bangalore,Regular,96,Annapurna Biryani Non-Veg,Mexican,4.4,24-09-2023,852.59
102,991,User_991,Pune,Regular,482,Classic Tiffins Pure Veg,Chinese,4.5,07-03-2023,913.83
103,1922,User_1922,Chennai,Gold,492,Swagath Kitchen North Indian,Italian,4.0,11-04-2023,1017.18
104,1115,User_1115,Chennai,Regular,379,New Dhaba South Indian,Mexican,4.1,03-10-2023,1191.17
105,804,User_804,Bangalore,Gold,407,Grand Cafe Chinese,Mexican,4.6,01-06-2023,109.14
106,2873,User_2873,Pune,Gold,68,Taste of Biryani Andhra,Italian,4.1,18-11-2023,1352.79
107,1118,User_1118,Pune,Gold,388,Spice Cafe South Indian,Indian,3.9,05-03-2023,1037.09
108,1493,User_1493,Chennai,Regular,5,Udupi Foods South Indian,Chinese,4.8,16-04-2023,1375.29
109,532,User_532,Hyderabad,Gold,432,Hotel Eatery Pure Veg,Mexican,5.0,27-05-2023,1461.82
110,1350,User_1350,Bangalore,Gold,220,Spice Kitchen North Indian,Mexican,3.2,04-06-2023,932.09
111,1416,User_1416,Pune,Regular,66,Swagath Dhaba Punjabi,Italian,4.7,30-03-2023,1346.23
112,2446,User_2446,Bangalore,Gold,447,Amma Biryani South Indian,Chinese,3.2,15-11-2023,149.76
113,2265,User_2265,Pune,Gold,28,Swagath Delights Multicuisine,Chinese,3.6,13-04-2023,475.81
114,142,User_142,Pune,Regular,390,Grand Restaurant Pure Veg,Mexican,4.7,29-07-2023,842.42
115,827,User_827,Chennai,Gold,184,Annapurna Tiffins Punjabi,Mexican,3.5,17-02-2023,367.72
116,2476,User_2476,Pune,Regular,319,Darbar Eatery Family Restaurant,Indian,3.1,12-03-2023,296.82
117,1449,User_1449,Pune,Gold,328,Ruchi Curry House Andhra,Mexican,4.6,07-05-2023,1485.31
118,1209,User_1209,Bangalore,Gold,209,Royal Tiffins Family Restaurant,Indian,3.6,22-07-2023,880.41
119,1741,User_1741,Pune,Gold,257,Sri Kitchen Family Restaurant,Italian,3.4,18-09-2023,1008.64
120,1385,User_1385,Bangalore,Regular,379,New Dhaba South Indian,Mexican,4.1,06-08-2023,1146.39
121,383,User_383,Hyderabad,Regular,438,Grand Biryani Pure Veg,Italian,3.2,31-07-2023,930.64
122,2661,User_2661,Chennai,Gold,376,Amma Cafe Non-Veg,Indian,3.4,01-08-2023,769.46
123,2440,User_2440,Pune,Regular,73,Spice Mess Andhra,Mexican,3.1,17-12-2023,1492.73
124,257,User_257,Chennai,Regular,102,Darbar Foods Andhra,Italian,4.9,07-06-2023,996.95
125,1649,User_1649,Chennai,Gold,14,Taste of Tiffins North Indian,Indian,3.8,09-10-2023,1345.86
126,970,User_970,Bangalore,Regular,122,Amma Eatery Non-Veg,Indian,3.9,29-09-2023,320.68
127,2913,User_2913,Pune,Gold,309,Ruchi Curry House Multicuisine,Indian,4.5,04-01-2023,1251.4
128,42,User_42,Bangalore,Regular,152,Hotel Curry House Punjabi,Indian,4.8,10-06-2023,379.57
129,1227,User_1227,Hyderabad,Gold,46,Udupi Delights Family Restaurant,Chinese,3.6,28-11-2023,158.62
130,1128,User_1128,Pune,Gold,418,Annapurna Foods Multicuisine,Chinese,3.3,05-09-2023,710.77
131,2850,User_2850,Hyderabad,Gold,389,Ruchi Mess Multicuisine,Italian,4.9,10-08-2023,1406.07
132,778,User_778,Hyderabad,Gold,302,Spice Curry House Andhra,Mexican,4.9,03-03-2023,198.22
133,2384,User_2384,Pune,Regular,165,Udupi Kitchen Chinese,Mexican,4.3,29-03-2023,872.28
134,45,User_45,Hyderabad,Gold,220,Spice Kitchen North Indian,Mexican,3.2,24-03-2023,775.17
135,912,User_912,Bangalore,Regular,483,Darbar Restaurant Family Restaurant,Chinese,4.5,09-11-2023,365.07
136,2643,User_2643,Chennai,Regular,175,Sai Biryani Non-Veg,Chinese,4.1,16-02-2023,968.84
137,1603,User_1603,Chennai,Gold,20,Hotel Cafe Punjabi,Indian,3.7,27-05-2023,1401.56
138,880,User_880,Pune,Regular,384,Annapurna Biryani Andhra,Mexican,4.6,09-05-2023,1140.38
139,1639,User_1639,Hyderabad,Regular,19,Classic Biryani Chinese,Indian,3.6,20-04-2023,1446.43
140,765,User_765,Hyderabad,Gold,381,New Delights North Indian,Italian,4.6,13-03-2023,1381.41
141,1831,User_1831,Hyderabad,Gold,384,Annapurna Biryani Andhra,Mexican,4.6,12-11-2023,1129.47
142,1860,User_1860,Chennai,Gold,112,Grand Cafe Punjabi,Chinese,3.2,07-02-2023,1331.64
143,1729,User_1729,Chennai,Gold,259,Amma Curry House Family Restaurant,Mexican,3.7,22-11-2023,158.75
144,2519,User_2519,Chennai,Gold,452,Classic Delights Multicuisine,Chinese,4.4,16-04-2023,247.03
145,1243,User_1243,Hyderabad,Gold,11,Taste of Kitchen Family Restaurant,Chinese,4.9,17-09-2023,365.51
146,93,User_93,Bangalore,Regular,2,Royal Delights South Indian,Indian,4.1,20-04-2023,1250.74
147,1821,User_1821,Hyderabad,Regular,268,Annapurna Biryani Multicuisine,Indian,3.8,27-05-2023,172.91
148,1975,User_1975,Bangalore,Regular,73,Spice Mess Andhra,Mexican,3.1,06-02-2023,607.82
149,2337,User_2337,Bangalore,Gold,345,Sai Tiffins Chinese,Chinese,4.3,24-06-2023,932.79
150,2136,User_2136,Hyderabad,Regular,486,Udupi Mess Andhra,Italian,4.1,01-03-2023,1402.24
151,863,User_863,Bangalore,Gold,474,Annapurna Tiffins Pure Veg,Mexican,3.5,07-12-2023,1148.35
152,2115,User_2115,Pune,Gold,176,Classic Delights North Indian,Italian,4.0,29-09-2023,112.31
153,2832,User_2832,Hyderabad,Gold,34,Ruchi Dhaba Multicuisine,Chinese,4.3,16-02-2023,641.49
154,623,User_623,Pune,Gold,244,Amma Tiffins South Indian,Italian,4.3,28-05-2023,221.42
155,2523,User_2523,Pune,Gold,90,Classic Biryani Pure Veg,Italian,4.8,12-03-2023,484.27
156,282,User_282,Chennai,Gold,179,Annapurna Foods Multicuisine,Italian,3.5,02-08-2023,1373.33
157,436,User_436,Bangalore,Gold,120,Classic Biryani Multicuisine,Italian,3.2,26-05-2023,439.11
158,2732,User_2732,Hyderabad,Regular,182,Annapurna Restaurant Andhra,Mexican,4.8,16-01-2023,439.9
159,2152,User_2152,Chennai,Gold,357,Grand Mess Punjabi,Italian,3.8,04-01-2023,1070.88
160,1291,User_1291,Chennai,Gold,381,New Delights North Indian,Italian,4.6,30-03-2023,139.67
161,354,User_354,Chennai,Regular,319,Darbar Eatery Family Restaurant,Indian,3.1,29-09-2023,175.84
162,939,User_939,Chennai,Regular,208,New Curry House South Indian,Mexican,4.7,06-11-2023,763.73
163,2852,User_2852,Pune,Regular,86,Sri Curry House Chinese,Indian,4.2,26-12-2023,190.64
164,2241,User_2241,Chennai,Regular,104,Grand Dhaba South Indian,Chinese,4.9,08-08-2023,411.65
165,1982,User_1982,Chennai,Gold,325,Sri Cafe North Indian,Italian,4.5,12-05-2023,761.84
166,1583,User_1583,Hyderabad,Gold,169,Ruchi Curry House Pure Veg,Italian,4.2,06-10-2023,456.5
167,1644,User_1644,Bangalore,Regular,483,Darbar Restaurant Family Restaurant,Chinese,4.5,11-10-2023,427.18
168,1437,User_1437,Hyderabad,Gold,135,Amma Eatery Non-Veg,Indian,3.7,15-06-2023,1357.22
169,2475,User_2475,Pune,Gold,320,Hotel Cafe Multicuisine,Italian,4.1,07-04-2023,1013.3
170,2134,User_2134,Hyderabad,Regular,290,Taste of Kitchen Chinese,Chinese,4.9,09-03-2023,1352.94
171,968,User_968,Bangalore,Regular,319,Darbar Eatery Family Restaurant,Indian,3.1,15-07-2023,1102.1
172,1953,User_1953,Chennai,Gold,332,Classic Delights Family Restaurant,Chinese,4.8,22-01-2023,1307.06
173,1352,User_1352,Pune,Gold,109,Swagath Delights South Indian,Chinese,5.0,18-06-2023,164.31
174,740,User_740,Hyderabad,Gold,371,Sai Dhaba Family Restaurant,Chinese,3.1,11-12-2023,1161.71
175,238,User_238,Hyderabad,Regular,379,New Dhaba South Indian,Mexican,4.1,27-10-2023,1482.75
176,2544,User_2544,Hyderabad,Gold,171,Ruchi Mess Non-Veg,Mexican,3.6,17-12-2023,552.39
177,2271,User_2271,Pune,Gold,117,Darbar Eatery North Indian,Indian,3.9,15-05-2023,1088.98
178,424,User_424,Bangalore,Gold,375,Hotel Delights Multicuisine,Chinese,4.3,14-05-2023,1402.18
179,1437,User_1437,Hyderabad,Gold,91,Annapurna Mess Non-Veg,Italian,4.8,07-09-2023,703.69
180,816,User_816,Chennai,Regular,399,Swagath Cafe Multicuisine,Chinese,3.2,19-05-2023,1289.82
181,1090,User_1090,Pune,Regular,136,Hotel Cafe South Indian,Indian,3.6,20-04-2023,1437.19
182,131,User_131,Chennai,Gold,123,Grand Restaurant Non-Veg,Chinese,4.2,09-02-2023,1470.97
183,724,User_724,Hyderabad,Regular,489,Swagath Foods Punjabi,Italian,3.0,26-06-2023,561.65
184,1945,User_1945,Pune,Regular,391,Sri Biryani Family Restaurant,Indian,3.3,09-03-2023,518.58
185,1722,User_1722,Hyderabad,Gold,54,Ruchi Tiffins Multicuisine,Italian,4.9,13-08-2023,105.4
186,2704,User_2704,Pune,Gold,285,Ruchi Eatery North Indian,Mexican,4.8,31-05-2023,1028.25
187,2805,User_2805,Bangalore,Regular,116,Grand Cafe Punjabi,Chinese,4.2,22-06-2023,803.92
188,2666,User_2666,Chennai,Gold,277,Swagath Restaurant North Indian,Mexican,3.3,30-06-2023,558.85
189,574,User_574,Chennai,Regular,442,Sai Eatery Andhra,Italian,3.7,02-09-2023,805.04
190,1542,User_1542,Bangalore,Regular,237,Grand Restaurant South Indian,Italian,4.5,13-03-2023,501.58
191,2482,User_2482,Chennai,Regular,116,Grand Cafe Punjabi,Chinese,4.2,05-05-2023,1340.73
192,345,User_345,Chennai,Gold,76,Amma Kitchen Punjabi,Italian,4.7,24-04-2023,862.55
193,2405,User_2405,Bangalore,Regular,126,Spice Tiffins North Indian,Italian,4.5,20-01-2023,261.66
194,914,User_914,Bangalore,Regular,183,Taste of Biryani Non-Veg,Chinese,3.7,17-07-2023,401.42
195,1258,User_1258,Pune,Regular,58,Sai Biryani Multicuisine,Indian,4.4,12-02-2023,1179.75
196,789,User_789,Pune,Regular,254,Ruchi Dhaba Chinese,Indian,4.7,25-07-2023,967.6
197,996,User_996,Chennai,Gold,58,Sai Biryani Multicuisine,Indian,4.4,03-03-2023,619.68
198,767,User_767,Hyderabad,Gold,243,Grand Tiffins South Indian,Chinese,4.8,05-04-2023,1389.57
199,2543,User_2543,Pune,Regular,94,Taste of Eatery Andhra,Chinese,4.5,06-10-2023,844.75
200,2619,User_2619,Bangalore,Regular,263,Grand Curry House Andhra,Indian,4.4,08-02-2023,258.38
201,1782,User_1782,Hyderabad,Gold,49,Amma Curry House Punjabi,Italian,4.0,20-05-2023,375.74
202,1347,User_1347,Chennai,Gold,43,Sai Cafe North Indian,Chinese,4.9,25-02-2023,1169.6
203,482,User_482,Hyderabad,Regular,376,Amma Cafe Non-Veg,Indian,3.4,30-01-2023,986.26
204,2094,User_2094,Hyderabad,Gold,364,Sri Foods Non-Veg,Mexican,3.4,23-10-2023,1164.27
205,1380,User_1380,Hyderabad,Regular,54,Ruchi Tiffins Multicuisine,Italian,4.9,25-12-2023,121.12
206,253,User_253,Chennai,Regular,308,Annapurna Biryani Family Restaurant,Italian,4.3,17-12-2023,200.98
207,2453,User_2453,Pune,Regular,218,Sai Foods Pure Veg,Indian,4.1,23-02-2023,1441.98
208,1642,User_1642,Bangalore,Gold,352,Hotel Kitchen Multicuisine,Italian,4.7,02-03-2023,1250.84
209,761,User_761,Pune,Regular,232,New Dhaba Family Restaurant,Mexican,4.0,01-02-2023,353.88
210,1816,User_1816,Pune,Regular,458,Swagath Mess Pure Veg,Italian,4.8,02-05-2023,169.2
211,1209,User_1209,Bangalore,Gold,437,Swagath Tiffins Chinese,Indian,3.3,26-12-2023,484.58
212,2339,User_2339,Pune,Regular,20,Hotel Cafe Punjabi,Indian,3.7,10-11-2023,390.16
213,2626,User_2626,Bangalore,Gold,374,Annapurna Curry House Multicuisine,Mexican,3.6,24-05-2023,701.52
214,66,User_66,Chennai,Gold,365,Udupi Kitchen Multicuisine,Italian,3.6,29-12-2023,1229.36
215,1087,User_1087,Pune,Regular,446,Annapurna Cafe Andhra,Indian,4.9,24-07-2023,334.56
216,105,User_105,Hyderabad,Gold,106,Spice Foods Non-Veg,Indian,4.8,08-04-2023,455.32
217,1846,User_1846,Chennai,Regular,376,Amma Cafe Non-Veg,Indian,3.4,20-02-2023,538.3
218,327,User_327,Hyderabad,Regular,138,Classic Mess Punjabi,Indian,4.8,14-03-2023,825.18
219,430,User_430,Hyderabad,Gold,125,Sai Foods Family Restaurant,Chinese,4.3,03-02-2023,883.67
220,1154,User_1154,Bangalore,Regular,132,Spice Tiffins Chinese,Indian,3.7,17-12-2023,394.85
221,2922,User_2922,Chennai,Gold,338,Grand Kitchen Non-Veg,Mexican,4.5,17-04-2023,616.19
222,1884,User_1884,Chennai,Regular,459,Sai Delights Non-Veg,Italian,4.6,18-05-2023,572.97
223,1118,User_1118,Pune,Gold,407,Grand Cafe Chinese,Mexican,4.6,10-04-2023,1477.26
224,370,User_370,Bangalore,Gold,277,Swagath Restaurant North Indian,Mexican,3.3,14-04-2023,1130.13
225,2992,User_2992,Bangalore,Regular,47,Ruchi Cafe Punjabi,Indian,3.4,28-07-2023,491.77
226,2341,User_2341,Bangalore,Regular,100,Spice Delights Family Restaurant,Indian,3.3,25-03-2023,307.03
227,77,User_77,Pune,Regular,466,Sai Cafe South Indian,Italian,4.9,01-03-2023,361.97
228,2302,User_2302,Chennai,Regular,196,Hotel Curry House Chinese,Italian,5.0,06-02-2023,618.25
229,760,User_760,Chennai,Regular,351,Spice Dhaba Non-Veg,Mexican,4.2,13-12-2023,672.94
230,2064,User_2064,Hyderabad,Regular,186,Darbar Restaurant North Indian,Indian,4.3,24-01-2023,1406.25
231,399,User_399,Bangalore,Regular,280,Taste of Dhaba Andhra,Chinese,3.7,09-01-2023,272.23
232,196,User_196,Hyderabad,Gold,419,Darbar Delights Andhra,Chinese,3.6,11-03-2023,744.13
233,2278,User_2278,Bangalore,Gold,492,Swagath Kitchen North Indian,Italian,4.0,23-08-2023,661.75
234,2342,User_2342,Pune,Regular,62,Spice Delights Andhra,Indian,3.1,08-02-2023,724.11
235,629,User_629,Bangalore,Gold,2,Royal Delights South Indian,Indian,4.1,23-06-2023,144.79
236,1298,User_1298,Chennai,Gold,349,Taste of Eatery Punjabi,Indian,4.5,15-05-2023,735.33
237,991,User_991,Pune,Regular,329,Spice Tiffins Pure Veg,Chinese,3.3,02-09-2023,379.94
238,1695,User_1695,Bangalore,Gold,140,Royal Tiffins Punjabi,Italian,3.3,30-09-2023,745.99
239,2165,User_2165,Chennai,Gold,272,New Dhaba Pure Veg,Indian,4.8,28-12-2023,572.94
240,1879,User_1879,Hyderabad,Gold,97,Annapurna Delights Andhra,Mexican,3.7,20-12-2023,1296.96
241,2067,User_2067,Chennai,Gold,438,Grand Biryani Pure Veg,Italian,3.2,19-09-2023,1339.09
242,2160,User_2160,Chennai,Regular,198,Annapurna Tiffins North Indian,Mexican,4.1,16-03-2023,809.35
243,690,User_690,Hyderabad,Gold,17,Udupi Delights Non-Veg,Indian,4.6,19-09-2023,1139.5
244,323,User_323,Bangalore,Regular,55,Darbar Restaurant Multicuisine,Indian,3.5,10-07-2023,506.36
245,1067,User_1067,Bangalore,Regular,470,Darbar Foods Multicuisine,Italian,3.6,07-04-2023,793.48
246,2438,User_2438,Pune,Gold,339,Annapurna Eatery South Indian,Indian,3.1,09-08-2023,212.5
247,170,User_170,Hyderabad,Gold,315,Swagath Curry House Chinese,Mexican,4.7,25-06-2023,662.32
248,958,User_958,Chennai,Gold,6,Ruchi Restaurant South Indian,Chinese,4.8,02-10-2023,931.29
249,478,User_478,Pune,Regular,438,Grand Biryani Pure Veg,Italian,3.2,30-09-2023,238.03
250,2143,User_2143,Hyderabad,Regular,406,Spice Foods Non-Veg,Chinese,4.5,05-06-2023,1067.0
251,2575,User_2575,Hyderabad,Regular,250,Sai Foods Non-Veg,Mexican,3.4,10-02-2023,248.07
252,677,User_677,Chennai,Gold,396,Taste of Delights Non-Veg,Mexican,4.8,25-03-2023,1032.04
253,344,User_344,Chennai,Gold,316,Darbar Tiffins Andhra,Chinese,4.8,15-10-2023,1117.08
254,2588,User_2588,Hyderabad,Regular,270,Taste of Biryani North Indian,Mexican,3.8,15-04-2023,793.84
255,2125,User_2125,Pune,Gold,279,Sri Tiffins Andhra,Italian,4.9,10-12-2023,655.05
256,1220,User_1220,Hyderabad,Regular,205,Sri Mess North Indian,Italian,4.2,14-05-2023,212.44
